TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360583.937 0.177
RTT 1790360584.187 0.124
RTT 1790360584.437 0.131
RTT 1790360584.688 0.344
RTT 1790360584.938 0.391
RTT 1790360585.188 0.052
RTT 1790360585.438 0.104
RTT 1790360585.688 0.242
RTT 1790360585.938 0.348
RTT 1790360586.189 0.188
RTT 1790360586.439 0.078
RTT 1790360586.689 0.230
RTT 1790360586.939 0.328
RTT 1790360587.190 0.562
RTT 1790360587.439 0.201
RTT 1790360587.690 0.227
RTT 1790360587.940 0.073
RTT 1790360588.190 0.068
RTT 1790360588.440 0.232
RTT 1790360588.690 0.067
RTT 1790360588.940 0.064
RTT 1790360589.190 0.073
RTT 1790360589.440 0.093
RTT 1790360589.691 0.122
RTT 1790360589.941 0.304
RTT 1790360590.191 0.159
RTT 1790360590.441 0.068
RTT 1790360590.691 0.059
RTT 1790360590.941 0.088
RTT 1790360591.191 0.237
